"","fips","state","PST045214","PST040210","PST120214","POP010210","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN130207","RTN131207","AFN120207","BPS030214","LND110210","POP060210","Klans","TOTCNG","TOTADH","TOTRATE","EVANCNG","EVANADH","EVANRATE","BPRTCNG","BPRTADH","BPRTRATE","MPRTCNG","MPRTADH","MPRTRATE","CATHCNG","CATHADH","CATHRATE","ORTHCNG","ORTHADH","ORTHRATE","OTHCNG","OTHADH","OTHRATE","OCGCNG","AMECNG","AMEADH","AMERATE","AMEZCNG","AMEZADH","AMEZRATE","ALBCNG","ALBADH","ALBRATE","AWMCCNG","AWMCADH","AWMCRATE","ALBPCNG","AMANCNG","AMANADH","AMANRATE","AAMCNG","AAMADH","AAMRATE","AALCCNG","ABACNG","ABAADH","ABARATE","ABCCNG","ABCADH","ABCRATE","ACROCNG","ACROADH","ACRORATE","APCCNG","AMSHCNG","AMSHADH","AMSHRATE","ACNACNG","AOCACNG","AOCAADH","AOCARATE","ACCACNG","ACCAADH","ACCARATE","AFMCNG","AFMADH","AFMRATE","ALCACNG","AACACNG","AACAADH","AACARATE","ARMCNG","ARMADH","ARMRATE","AECCNG","AGCNG","AGADH","AGRATE","AGIFCNG","ARPCCNG","ARPCADH","ARPCRATE","AFLCCNG","AMCCNG","ARBCCNG","BAHCNG","BAHADH","BAHRATE","BAMCCNG","BAMCADH","BAMCRATE","BAMCNG","BAMADH","BAMRATE","BFCCNG","BFCADH","BFCRATE","BPCCNG","BCACNG","BCAADH","BCARATE","BCCCNG","BRUDCNG","BRUDADH","BRUDRATE","BUDMCNG","BUDMADH","BUDMRATE","BUDTCNG","BUDTADH","BUDTRATE","BUDVCNG","BUDVADH","BUDVRATE","BULGCNG","BULGADH","BULGRATE","CCFCCNG","CARCCNG","CTHCNG","CTHADH","CTHRATE","CYMFCNG","CYMFADH","CYMFRATE","CMACNG","CMAADH","CMARATE","CBCNG","CCDCCNG","CCDCADH","CCDCRATE","CCCCCNG","CCCCADH","CCCCRATE","CMECNG","CMEADH","CMERATE","CRCCNG","CRCADH","CRCRATE","CUCNG","CCHCNG","CCSCNG","CGAICNG","CGAIADH","CGAIRATE","CGCTCNG","CGCTADH","CGCTRATE","CG7DCNG","CGFCNG","CGGCCNG","CGGCADH","CGGCRATE","CGCCNG","CGCADH","CGCRATE","CGCMCNG","CGCMADH","CGCMRATE","CGPCNG","CGPADH","CGPRATE","CGAFCNG","CGMACNG","LDSCNG","LDSADH","LDSRATE","CAFCNG","CBRCNG","CBRADH","CBRRATE","CLBACNG","CLBAADH","CLBARATE","CLCCNG","NAZCNG","NAZADH","NAZRATE","CUBCCNG","CUBCADH","CUBCRATE","CHCHCNG","CHCHADH","CHCHRATE","CCCUCNG","CHGNCNG","CHGNADH","CHGNRATE","CRECCNG","COCCNG","COCADH","COCRATE","CCCCNG","CCCADH","CCCRATE","CHCCNG","CHCADH","CHCRATE","CMCCNG","CMCADH","CMCRATE","CBACNG","CCONCNG","CCONADH","CCONRATE","CJUDCNG","CJUDADH","CJUDRATE","CLACNG","CMCOCNG","CMCOADH","CMCORATE","CYFRCNG","CYFRADH","CYFRRATE","OFWBCNG","OFWBADH","OFWBRATE","CWCNG","CWADH","CWRATE","COPTCNG","COPTADH","COPTRATE","CRPCCNG","CUMBCNG","CUMBADH","CUMBRATE","CPCACNG","ELIMCNG","EBACNG","ECCNG","ECADH","ECRATE","EOCNG","EOADH","EORATE","ETHOCNG","EARCNG","EVCHCNG","ECCCNG","ECCADH","ECCRATE","ECOVCNG","ECOVADH","ECOVRATE","EFCACNG","EFCAADH","EFCARATE","EFCICNG","EFCIADH","EFCIRATE","ELCACNG","ELCAADH","ELCARATE","White","Black","Hispanic","Asian","Natives","Mixed","Metro_NonMetro","Farming_2015_Update","Mining_2015_Update","Manufacturing_2015_Update","Government_2015_Update","Recreation_2015_Update","Nonspecialized_2015_Update","Low_Education_2015_Update","Low_Employment_Cnty_2008_2012_25_64","Pop_Loss_2010","Retirement_Dest_2015_Update","Persistent_Poverty_2013","Persistent_Related_Child_Poverty_2013","votes","fraction_votes","voting_pop_percent","voting_population","absolute_votes","White_new","Black_new","Native_new","Asian_new","Islander_new","Mixed_new","Hispanic_new"
"37","46000","South Dakota","853175","814191","4.8","814180","7.1","24.7","15.3","49.7","85.7","1.9","8.9","1.3","0.1","2.2","3.6","83.0","83.6","2.8","6.8","90.4","26.2","67886","16.9","376319","68.0","18.8","132400","323136","2.45","25740","49495","14.1","26021","340485","1.2","62414","76997","0.3","2.2","0.6","0.0","0.8","22.2","13051128","11400476","12266218","15390","1622751","4722","75811.0","10.7",92,"1819","476832","585.66","824","118142","145.11","2","435","0.53","673","196001","240.73","243","148883","182.86","3","320","0.39","74","13051","16.03","","","","","","","","","","","","","","","","","","","","","2","1","106","0.13","34","6338","7.78","","","","","1","31","0.04","","1","60","0.07","","","","","","","3","","","","","","","","45","7541","9.26","","","","","25","","","3","1017","1.25","","","","","","","","","","","","","","","","","","2","205","0.25","1","14","0.02","","","","","","","3","","243","148883","182.86","","","","15","1396","1.71","1","3","431","0.53","12","1666","2.05","","","","14","4588","5.64","","","2","6","608","0.75","12","498","0.61","3","","","","","2","435","0.53","2","263","0.32","2","66","0.08","","","33","9812","12.05","","","","","3","162","0.2","11","17","1386","1.7","1","12","0.01","23","1143","1.4","","","","","","1","189","0.23","1","41","0.05","","","","","","","","2","454","0.56","1","24","0.03","","","","","1","0","","","","","16","2700","3.32","","","","","","","","","","","74","9359","11.5","","","","","1","","","","","8","841","1.03","18","3121","3.83","","","","223","112649","138.36","0.85","0.02","0.02","N/A","0.08","0.02",8,42,0,3,12,3,13,2,9,29,4,11,16,44866,45.307,40,341270,13,85.7,1.9,8.9,1.3,0.1,2.2,3.6
"38","47000","Tennessee","6549352","6346275","3.2","6346105","6.1","22.8","15.1","51.3","78.9","17.1","0.4","1.7","0.1","1.7","5.0","74.6","84.6","4.6","6.6","84.4","23.8","484901","24.3","2869323","67.8","18.3","139200","2475195","2.52","24409","44298","17.6","130819","2394068","2.1","470330","545348","8.4","0.5","2.0","0.1","1.6","25.9","140447760","80116528","77547291","12563","10626759","27632","41234.9","153.9",2023,"11542","3522345","555.04","8047","2384381","375.72","843","273889","43.16","2077","533145","84.01","152","223045","35.15","28","10422","1.64","395","97463","15.36","4","129","22016","3.47","64","9606","1.51","","","","2","38","0.01","3","","","","","","","","9","727","0.11","10","4158","0.66","","","","","15","1948","0.31","20","4","909","0.14","1","24","0","","","","","","","","2","225","0.04","","225","49330","7.77","1","11","1068","0.17","1","","2","15","2050","0.32","3","285","0.04","","","","","","","1","","","","4","","","","12","1594","0.25","7","1796","0.28","3","130","0.02","","","","22","","151","222343","35.04","","","","8","1028","0.16","2","61","40314","6.35","173","35847","5.65","133","23068","3.63","1","158","0.02","","4","10","71","4742","0.75","379","78597","12.39","4","2","1","6","0","141","55739","8.78","2","230","0.04","124","8448","1.33","","14","99","45675","7.2","5","16","1245","0.2","","","","","172","27874","4.39","","","","1432","214118","33.74","2","","","","2","11","1716","0.27","","","","3","142","0.02","9","389","0.06","","","","","4","2694","0.42","","","","","","","","","","","","","","7","6195","0.98","","268","29453","4.64","25","","","126","40053","6.31","","","","1","","","","","","2","93","0.01","10","5400","0.85","","","","47","11840","1.87","0.74","0.17","0.06","0.01","N/A","N/A",42,3,0,34,10,4,48,19,50,0,27,9,21,332702,43.687,37.9,2482204,13,78.9,17.1,0.4,1.7,0.1,1.7,5
"39","48000","Texas","26956958","25146104","7.2","25145561","7.3","26.4","11.5","50.4","80.0","12.5","1.0","4.5","0.1","1.8","38.6","43.5","82.8","16.3","34.7","81.2","26.7","1583272","25.0","10426080","63.3","24.2","128900","8886471","2.82","26019","51900","17.6","547190","9663567","3.3","2039732","2164852","7.1","0.9","5.3","0.1","20.7","28.2","593541502","424238194","311334781","13061","42054592","166982","261231.71","96.3",23171,"27848","13994564","556.54","19490","6456168","256.75","1352","345998","13.76","3722","1553959","61.8","1351","4673500","185.86","113","32453","1.29","1820","932486","37.08","","247","43839","1.74","11","1327","0.05","","","","","","","9","","","","","","","","264","39354","1.57","15","7172","0.29","","","","","1","52","0","111","21","5348","0.21","2","46","0","3","135","0.01","","","","","5","515","0.02","","1322","275565","10.96","3","5","223","0.01","8","1","3","68","13235","0.53","2","265","0.01","","","","","","","","","","","1","","","","95","49874","1.98","30","13461","0.54","23","2781","0.11","","","","57","","1348","4673500","185.86","","","","48","5465","0.22","4","383","74817","2.98","136","40078","1.59","157","37986","1.51","13","1416","0.06","","4","64","86","3990","0.16","269","47709","1.9","70","","1","65","0","393","77545","3.08","11","1068","0.04","87","3610","0.14","18","","577","296141","11.78","22","1","118","0","1","72","0","4","301","44836","1.78","","","","2042","351129","13.96","2","","","","5","42","4450","0.18","","","","28","1280","0.05","41","2396","0.1","1","1","29","0","13","17889","0.71","","3","106","0","","","","","","","6","1320","0.05","12","3866","0.15","","41","6355","0.25","19","","","377","148439","5.9","2","1000","0.04","4","5","","","","","13","1393","0.06","64","13486","0.54","11","1845","0.07","362","111647","4.44","0.44","0.12","0.38","0.04","0.00","0.01",82,67,79,18,38,16,75,94,71,42,47,37,91,757618,74.077,37.9,10216687,7,80,12.5,1,4.5,0.1,1.8,38.6
"40","49000","Utah","2942902","2763885","6.5","2763885","8.6","30.7","10.0","49.7","91.4","1.3","1.5","2.4","1.0","2.4","13.5","79.3","82.8","8.2","14.3","90.9","30.3","143771","21.4","1022537","70.1","21.4","212800","886770","3.12","23873","58821","12.7","71887","1101557","2.9","201838","246393","0.5","0.6","1.9","0.3","3.7","24.9","42431657","25417368","36574240","13730","3980570","17510","82169.62","33.6",7,"5557","2186403","791.06","422","63040","22.81","14","3258","1.18","106","23546","8.52","68","160125","57.93","9","5982","2.16","4938","1930452","698.46","","2","392","0.14","","","","","","","","","","","","","","","","","","2","228","0.08","8","2082","0.75","","","","","","","","1","1","255","0.09","","","","","","","","","","","","","","1","42","11944","4.32","","","","","","","","14","1129","0.41","","","","","","","","","","","","","","","","","","13","6496","2.35","3","2061","0.75","1","45","0.02","","","","7","","68","160125","57.93","","","","9","701","0.25","","3","652","0.24","5","1005","0.36","","","","4","279","0.1","","","5","","","","14","1714","0.62","1","","","","","9","1849","0.67","","","","9","384","0.14","","","4835","1910504","691.24","","","","","","","","","5","412","0.15","","","","19","1135","0.41","","","","","","4","543","0.2","","","","","","","","","","11","","","","0","317","0.11","","","","","","","","","","","2","180","0.07","1","12","0","","","","","","","","27","5407","1.96","","","","","","","","","","","","","12","2460","0.89","","","","12","3186","1.15","0.81","0.01","0.12","0.04","N/A","0.01",10,1,6,2,9,13,6,0,4,0,11,1,1,24864,5.938,40.7,1197761,2,91.4,1.3,1.5,2.4,1,2.4,13.5
"41","50000","Vermont","626562","625745","0.1","625741","4.9","19.4","16.9","50.7","95.0","1.2","0.4","1.6","0.0","1.8","1.8","93.5","86.6","4.1","5.2","91.4","34.8","48456","22.2","325789","71.0","23.0","216800","257004","2.34","29167","54267","11.8","21119","262474","-1.1","59446","78729","0.0","0.5","0.8","0.0","0.6","26.0","10751461","5121694","9310119","15005","1367630","1546","9216.66","67.9",317,"854","210391","336.23","223","22630","36.17","1","36","0.06","398","48029","76.76","129","128293","205.03","4","290","0.46","99","11113","17.76","","","","","","","","","","","","","","","","","","","","","","1","99","0.16","57","7178","11.47","","","","","","","","3","","","","1","30","0.05","","","","","","","","","","","","23","2330","3.72","","","","","","","","2","345","0.55","","","","","","","","","","","","","","","","","","11","213","0.34","","","","13","713","1.14","","","","2","","129","128293","205.03","","","","10","4704","7.52","","","","","3","129","0.21","","","","1","168","0.27","","","10","","","","2","77","0.12","","","","","","1","36","0.06","","","","2","57","0.09","","","12","4384","7.01","","","","","","","","","10","1033","1.65","","","","10","651","1.04","","","","","","","","","9","347","0.55","","","","","","","4","8","699","1.12","2","1007","1.61","","","","","","","","","","","2","570","0.91","","","","","","","","","","","47","6999","11.19","","","","","","","","","","1","99","0.16","7","608","0.97","","","","7","971","1.55","0.94","0.01","0.01","0.02","N/A","0.02",3,0,0,0,2,9,4,0,0,0,0,0,0,19968,86.159,36.3,227442,9,95,1.2,0.4,1.6,0,1.8,1.8
"42","51000","Virginia","8326289","8001023","4.1","8001024","6.2","22.4","13.8","50.8","70.5","19.7","0.5","6.3","0.1","2.8","8.9","63.1","84.7","11.3","14.9","87.5","35.2","726470","27.7","3446471","67.3","21.7","244600","3022739","2.6","33493","63907","11.3","193907","3131723","1.4","536067","638643","9.9","0.5","7.0","0.1","4.5","30.1","92417797","60513396","105663299","13687","15340483","28682","39490.09","202.6",2426,"10088","3586592","448.27","5660","1531731","191.44","446","111028","13.88","3028","870842","108.84","231","674555","84.31","51","18253","2.28","672","380183","47.52","2","78","15583","1.95","66","10148","1.27","","","","4","69","0.01","17","","","","","","","1","4","390","0.05","107","65881","8.23","2","185","0.02","","4","547","0.07","54","4","380","0.05","","","","1","41","0.01","","","","","2","210","0.03","","224","56241","7.03","1","12","1085","0.14","","1","3","37","4728","0.59","9","1017","0.13","1","17","0","","","","2","9","1766","0.22","6","","","","39","17210","2.15","8","3796","0.47","15","1989","0.25","2","33","0","28","","230","673853","84.22","","","","29","2923","0.37","2","179","28209","3.53","218","47041","5.88","13","2842","0.36","2","250","0.03","","8","24","55","4634","0.58","200","42530","5.32","4","1","4","149","0.02","71","15453","1.93","1","26","0","102","5911","0.74","","3","196","89800","11.22","45","185","29841","3.73","","","","1","93","30852","3.86","6","501","0.06","165","16591","2.07","1","1","72","0.01","4","4","548","0.07","3","225","0.03","14","422","0.05","","","","1","5","1082","0.14","13","10190","1.27","","3","154","0.02","2","218","0.03","","","","5","450","0.06","6","4150","0.52","","","","","","3","","349","120579","15.07","","","","1","3","","","","","2","93","0.01","10","2395","0.3","16","841","0.11","191","56754","7.09","0.63","0.19","0.08","0.07","N/A","0.02",81,3,4,15,33,17,70,19,32,5,24,2,15,355960,54.414,36.2,3014117,12,70.5,19.7,0.5,6.3,0.1,2.8,8.9
"43","53000","Washington","7061530","6724543","5.0","6724540","6.3","22.7","14.1","50.0","80.7","4.1","1.9","8.2","0.7","4.5","12.2","70.4","82.7","13.2","18.5","90.0","31.9","582265","25.7","2963141","63.2","25.6","262100","2629126","2.54","30742","59478","13.4","176815","2444098","3.5","413446","551340","0.0","1.2","6.8","0.2","3.2","28.7","112053283","76790966","92968519","14380","12389422","33898","66455.52","101.2",618,"6114","2328005","346.2","3401","820643","122.04","59","14289","2.12","1152","308292","45.85","313","784332","116.64","45","16987","2.53","1144","383462","57.02","","9","2969","0.44","4","501","0.07","","","","","","","","","","","","","","2","13","1317","0.2","119","26638","3.96","","","","","","","","24","8","1232","0.18","","","","6","254","0.04","7","","","","1","2500","0.37","","342","125005","18.59","","","","","7","","2","82","7087","1.05","","","","","","","","","","3","","","","","","","","70","31254","4.65","18","14711","2.19","30","3100","0.46","","","","57","1","312","784332","116.64","","","","85","18843","2.8","3","53","7697","1.14","62","21011","3.12","6","944","0.14","52","9497","1.41","","","44","47","7228","1.07","38","4859","0.72","3","4","2","101","0.02","30","6838","1.02","2","236","0.04","21","1121","0.17","","","520","267267","39.75","","12","854","0.13","12","1858","0.28","5","154","36477","5.42","1","48","0.01","133","13233","1.97","","","","","6","26","4147","0.62","","","","","","","","","","64","4","151","0.02","5","3856","0.57","1","","","","","","","","","","62","14190","2.11","3","1735","0.26","","","","","","","","127","33410","4.97","3","1400","0.21","2","","14","","","","50","12023","1.79","41","5342","0.79","18","1348","0.2","259","96555","14.36","0.70","0.04","0.13","0.08","0.02","0.04",21,7,0,1,7,10,17,5,13,0,17,0,1,403003,30.429,36.8,2598643,16,80.7,4.1,1.9,8.2,0.7,4.5,12.2
"44","54000","West Virginia","1850326","1853033","-0.1","1852994","5.5","20.5","17.8","50.6","93.7","3.6","0.2","0.8","0.0","1.6","1.5","92.5","88.1","1.4","2.4","83.9","18.3","159448","25.5","884605","73.4","12.0","98500","741390","2.43","22966","41043","17.9","37573","575987","-0.6","88202","120381","0.0","0.0","1.3","0.0","0.7","28.1","25080573","11036467","20538829","11340","2553258","2677","24038.21","77.1",2014,"4413","658313","355.27","2089","249756","134.79","85","11505","6.21","1949","274766","148.28","139","95849","51.73","17","2776","1.5","134","23661","12.77","1","23","2748","1.48","1","95","0.05","","","","10","373","0.2","","","","","","","","","5","1160","0.63","381","88193","47.59","2","146","0.08","","3","217","0.12","2","3","1235","0.67","1","0","","","","","","","","","","","","","118","15473","8.35","2","3","78","0.04","","","","3","520","0.28","1","79","0.04","","","","","","","","4","380","0.21","1","1","17","0.01","1","11","0.01","1","300","0.16","","","","","","","3","","139","95849","51.73","","","","19","2212","1.19","","41","7955","4.29","88","10927","5.9","1","115","0.06","","","","","","6","79","4689","2.53","178","21740","11.73","2","","","","","6","892","0.48","","","","27","685","0.37","","1","38","16710","9.02","5","77","7727","4.17","","","","","125","18305","9.88","2","278","0.15","287","22167","11.96","","6","323","0.17","1","7","845","0.46","","","","","","","","","","1","","","","0","154","0.08","","","","","","","","","","","","","","","","","","","","","","","","67","8529","4.6","","","","","1","","","","","","","","1","35","0.02","","","","52","12809","6.91","0.92","0.03","0.01","N/A","N/A","0.02",21,1,21,8,13,7,14,9,36,20,5,8,21,156245,43.532,38.3,708675,22,93.7,3.6,0.2,0.8,0,1.6,1.5
"45","55000","Wisconsin","5757564","5687289","1.2","5686986","5.9","22.6","15.2","50.3","87.8","6.6","1.1","2.6","0.0","1.8","6.5","82.2","85.8","4.7","8.6","90.4","26.8","408870","21.7","2648317","68.1","25.4","167100","2288332","2.43","27523","52413","13.0","137983","2401032","0.5","335177","433797","2.6","0.6","1.6","0.0","1.3","25.9","163563195","59996244","72283321","12904","9247311","14622","54157.8","105.0",1061,"6078","3047442","535.86","2906","806028","141.73","124","44203","7.77","1832","684035","120.28","770","1425523","250.66","34","13223","2.33","412","74430","13.09","","13","3250","0.57","1","124","0.02","","","","","","","1","","","","","","","4","2","185","0.03","61","16820","2.96","","","","","115","14957","2.63","6","3","515","0.09","","","","2","85","0.01","","1","400","0.07","2","535","0.09","","182","45895","8.07","2","","","","15","","","18","2149","0.38","","","","","","","","","","","","","","2","","","","20","2378","0.42","6","1400","0.25","17","977","0.17","","","","13","","764","1425523","250.66","","","","55","21247","3.74","","2","196","0.03","34","6409","1.13","10","3063","0.54","23","6494","1.14","","","32","10","585","0.1","17","1519","0.27","","","1","21","0","35","13484","2.37","4","481","0.08","5","171","0.03","","","69","24496","4.31","1","1","26","0","5","1810","0.32","9","41","3054","0.54","","","","69","5941","1.04","","","","","","9","1242","0.22","","","","","","","","","","9","15","2038","0.36","6","2306","0.41","","","","","1","10","0","","","","93","16410","2.89","2","235","0.04","1","","","","","","","114","18314","3.22","","","","","","1","","","","28","3720","0.65","100","29881","5.25","","","","695","414326","72.86","0.82","0.06","0.08","0.02","N/A","0.02",26,3,0,29,6,23,19,0,2,0,1,0,1,386370,31.066,37.8,2176359,18,87.8,6.6,1.1,2.6,0,1.8,6.5
"46","56000","Wyoming","584153","563767","3.6","563626","6.5","23.7","14.0","49.0","92.7","1.6","2.7","1.0","0.1","2.0","9.8","84.1","81.8","3.3","6.8","92.4","24.7","50852","18.3","268222","70.1","16.0","185900","222846","2.5","28902","57406","11.5","20629","212635","-0.7","46297","61179","0.2","0.8","0.7","0.0","2.8","25.5","8834810","6352890","8957553","17114","1469008","1901","97093.14","5.8",212,"948","223074","395.78","494","59247","105.12","6","281","0.5","175","36539","64.83","70","61222","108.62","4","785","1.39","199","65000","115.32","","2","216","0.38","","","","","","","1","18","0.03","","","","","","","","1","3","394","0.7","16","2670","4.74","","","","","","","","5","1","40","0.07","","","","","","","","","","","","","","","43","4419","7.84","","","","","","","","3","290","0.51","","","","","","","","","","","1","99","0.18","","","","","2","22","0.04","","","","2","105","0.19","","","","6","","70","61222","108.62","","","","14","2464","4.37","","4","1738","3.08","17","1681","2.98","","","","","","","","","4","6","2030","3.6","2","50","0.09","","","","","","2","50","0.09","1","10","0.02","6","384","0.68","","","153","62804","111.43","","","","","","","","1","16","1327","2.35","","","","33","1957","3.47","","","","","","4","512","0.91","","","","2","88","0.16","","","","13","","","","","","","","","","","","","","","","","6","1410","2.5","","","","","","","","","","","46","7279","12.91","","","","","","3","","","","","","","10","1518","2.69","","","","22","7541","13.38","0.86","0.01","0.09","N/A","0.01","0.02",2,0,10,0,2,4,8,0,0,0,2,0,0,70,1.045,37.7,220226,0,92.7,1.6,2.7,1,0.1,2,9.8
